"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"London"	"Level 3 qualifications"	"number"	396	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"London"	"Level 4 qualifications and above"	"number"	1763	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"London"	"Other qualifications"	"number"	1077	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"No qualifications"	"number"	1051	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Level 1 qualifications"	"number"	271	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Level 2 qualifications"	"number"	314	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Apprenticeship"	"number"	140	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Level 3 qualifications"	"number"	167	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	894	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South East"	"Other qualifications"	"number"	352	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"No qualifications"	"number"	568	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Level 1 qualifications"	"number"	121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Level 2 qualifications"	"number"	151	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Apprenticeship"	"number"	72	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Level 3 qualifications"	"number"	78	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	366	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"South West"	"Other qualifications"	"number"	143	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"No qualifications"	"number"	481	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Level 1 qualifications"	"number"	57	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Level 2 qualifications"	"number"	63	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Apprenticeship"	"number"	41	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Level 3 qualifications"	"number"	33	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	163	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Mixed/multiple ethnic group"	"Wales"	"Other qualifications"	"number"	64	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"No qualifications"	"number"	835	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Level 1 qualifications"	"number"	76	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Level 2 qualifications"	"number"	55	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Apprenticeship"	"number"	18	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Level 3 qualifications"	"number"	38	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Level 4 qualifications and above"	"number"	445	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North East"	"Other qualifications"	"number"	323	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"No qualifications"	"number"	6741	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Level 1 qualifications"	"number"	464	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Level 2 qualifications"	"number"	328	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Apprenticeship"	"number"	83	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Level 3 qualifications"	"number"	219	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Level 4 qualifications and above"	"number"	2082	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"North West"	"Other qualifications"	"number"	2161	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"No qualifications"	"number"	6229	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	336	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	216	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	58	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	126	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	1313	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	1511	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"No qualifications"	"number"	6931	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Level 1 qualifications"	"number"	585	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Level 2 qualifications"	"number"	392	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Apprenticeship"	"number"	84	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Level 3 qualifications"	"number"	205	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Level 4 qualifications and above"	"number"	1506	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East Midlands"	"Other qualifications"	"number"	2258	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"No qualifications"	"number"	12242	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Level 1 qualifications"	"number"	729	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Level 2 qualifications"	"number"	500	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Apprenticeship"	"number"	150	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Level 3 qualifications"	"number"	333	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Level 4 qualifications and above"	"number"	2244	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"West Midlands"	"Other qualifications"	"number"	3583	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"No qualifications"	"number"	3657	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Level 1 qualifications"	"number"	471	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Level 2 qualifications"	"number"	470	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Apprenticeship"	"number"	97	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Level 3 qualifications"	"number"	271	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Level 4 qualifications and above"	"number"	2643	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"East"	"Other qualifications"	"number"	1679	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"No qualifications"	"number"	24185	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Level 1 qualifications"	"number"	4161	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Level 2 qualifications"	"number"	3698	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Apprenticeship"	"number"	473	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Level 3 qualifications"	"number"	2066	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Level 4 qualifications and above"	"number"	16064	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"London"	"Other qualifications"	"number"	13978	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"No qualifications"	"number"	5381	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Level 1 qualifications"	"number"	836	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Level 2 qualifications"	"number"	768	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Apprenticeship"	"number"	159	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Level 3 qualifications"	"number"	492	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Level 4 qualifications and above"	"number"	4201	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South East"	"Other qualifications"	"number"	3134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"No qualifications"	"number"	1018	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Level 1 qualifications"	"number"	174	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Level 2 qualifications"	"number"	179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Apprenticeship"	"number"	41	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Level 3 qualifications"	"number"	91	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Level 4 qualifications and above"	"number"	783	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"South West"	"Other qualifications"	"number"	521	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"No qualifications"	"number"	861	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Level 1 qualifications"	"number"	76	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Level 2 qualifications"	"number"	80	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Apprenticeship"	"number"	17	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Level 3 qualifications"	"number"	48	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Level 4 qualifications and above"	"number"	599	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Asian/Asian British"	"Wales"	"Other qualifications"	"number"	338	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"No qualifications"	"number"	46	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Level 1 qualifications"	"number"	10	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Level 2 qualifications"	"number"	10	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Apprenticeship"	"number"	2	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Level 3 qualifications"	"number"	10	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Level 4 qualifications and above"	"number"	55	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North East"	"Other qualifications"	"number"	22	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"No qualifications"	"number"	1490	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Level 1 qualifications"	"number"	147	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Level 2 qualifications"	"number"	133	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Apprenticeship"	"number"	53	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Level 3 qualifications"	"number"	136	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Level 4 qualifications and above"	"number"	709	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"North West"	"Other qualifications"	"number"	343	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"No qualifications"	"number"	1486	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	144	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	125	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	73	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	71	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	536	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"No qualifications"	"number"	1584	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 1 qualifications"	"number"	168	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 2 qualifications"	"number"	171	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Apprenticeship"	"number"	75	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 3 qualifications"	"number"	85	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 4 qualifications and above"	"number"	608	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East Midlands"	"Other qualifications"	"number"	310	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"No qualifications"	"number"	4291	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 1 qualifications"	"number"	410	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 2 qualifications"	"number"	440	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Apprenticeship"	"number"	170	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 3 qualifications"	"number"	223	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 4 qualifications and above"	"number"	1292	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"West Midlands"	"Other qualifications"	"number"	885	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"No qualifications"	"number"	1259	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Level 1 qualifications"	"number"	179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Level 2 qualifications"	"number"	236	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Apprenticeship"	"number"	103	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Level 3 qualifications"	"number"	123	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Level 4 qualifications and above"	"number"	979	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"East"	"Other qualifications"	"number"	425	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"No qualifications"	"number"	16383	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Level 1 qualifications"	"number"	2578	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Level 2 qualifications"	"number"	2887	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Apprenticeship"	"number"	715	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Level 3 qualifications"	"number"	1826	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Level 4 qualifications and above"	"number"	11128	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"London"	"Other qualifications"	"number"	6335	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"No qualifications"	"number"	1356	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Level 1 qualifications"	"number"	253	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Level 2 qualifications"	"number"	243	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Apprenticeship"	"number"	94	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Level 3 qualifications"	"number"	133	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Level 4 qualifications and above"	"number"	1129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South East"	"Other qualifications"	"number"	431	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"No qualifications"	"number"	823	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Level 1 qualifications"	"number"	98	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Level 2 qualifications"	"number"	83	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Apprenticeship"	"number"	44	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Level 3 qualifications"	"number"	54	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Level 4 qualifications and above"	"number"	388	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"South West"	"Other qualifications"	"number"	190	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"No qualifications"	"number"	276	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Level 1 qualifications"	"number"	11	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Level 2 qualifications"	"number"	35	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Apprenticeship"	"number"	24	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Level 3 qualifications"	"number"	13	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Level 4 qualifications and above"	"number"	110	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Black/African/Caribbean/Black British"	"Wales"	"Other qualifications"	"number"	54	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"No qualifications"	"number"	66	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Level 1 qualifications"	"number"	7	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Level 2 qualifications"	"number"	10	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Apprenticeship"	"number"	4	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Level 3 qualifications"	"number"	5	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	75	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North East"	"Other qualifications"	"number"	21	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"No qualifications"	"number"	264	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Level 1 qualifications"	"number"	38	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Level 2 qualifications"	"number"	33	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Apprenticeship"	"number"	8	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Level 3 qualifications"	"number"	30	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	291	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"North West"	"Other qualifications"	"number"	129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	318	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	27	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	23	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 65 to 74"	"Other ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	12	""
